Product_Type,Keywords,Store_ID,Product_ID_Type,Product_ID,Title,Description,Image_URL,Original_Price,Sale_Price,Currency,Full_URL
retail_product,"Content Marketing, Digital Marketing, Marketing Strategy",amazon,ISBN,978-9354069925,"The One-Page Content Marketing Blueprint: Step by Step Guide to Launch a Winning Content Marketing Strategy in 90 Days",,"https://images-na.ssl-images-amazon.com/images/I/41Gkpqad53L._SX312_BO1,204,203,200_.jpg",23.99,5.53,USD,https://www.amazon.com/One-Page-Content-Marketing-Blueprint-Strategy/dp/9354069924
retail_product,"Digital Marketing,Big Data, CDP, Customer Data Platform",amazon,ISBN,978-1119790112,Customer Data Platforms: Use People Data to Transform the Future of Marketing Engagement,,"https://images-na.ssl-images-amazon.com/images/I/41gUgegbS3L._SX336_BO1,204,203,200_.jpg",25.00,25.00,USD,https://www.amazon.com/Customer-Data-Platforms-Transform-Engagement/dp/1119790115/
retail_product,Machine Learning,amazon,ISBN,978-1492045113,Building Machine Learning Powered Applications: Going from Idea to Product,,"https://images-na.ssl-images-amazon.com/images/I/51F5NarlBxL._SX379_BO1,204,203,200_.jpg",59.99,43.70,USD,https://www.amazon.com/Building-Machine-Learning-Powered-Applications/dp/149204511X
retail_product,"Behavioral Data Analysis, Python, Customer-Driven Data, Customer Analytics",amazon,ISBN,978-1492061373,Behavioral Data Analysis with R and Python: Customer-Driven Data for Real Business Results,,"https://images-na.ssl-images-amazon.com/images/I/41I64I5MOqS._SX379_BO1,204,203,200_.jpg",69.99,69.99,USD,https://www.amazon.com/Behavioral-Data-Analysis-Python-Customer-Driven/dp/1492061379
retail_product,Customer Analytics,amazon,ISBN,978-1118937594,Customer Analytics For Dummies,,"https://images-na.ssl-images-amazon.com/images/I/51lqtrcOVfL._SX397_BO1,204,203,200_.jpg",2.93,2.93,USD,https://www.amazon.com/Customer-Analytics-Dummies-Jeff-Sauro/dp/1118937597/
retail_product,Digital transformation,amazon,ISBN,978-1119433743,Digital @ Scale: The Playbook You Need to Transform Your Company,,"https://images-na.ssl-images-amazon.com/images/I/51ITOtPpQ7L._SX329_BO1,204,203,200_.jpg",29.95,29.95,USD,https://www.amazon.com/Digital-Scale-Playbook-Transform-Company/dp/1119433746/
retail_product,Android Programming,amazon,ISBN,978-1800563438,"Android Programming for Beginners: Build in-depth, full-featured Android apps starting from zero programming experience, 3rd Edition",,"https://images-na.ssl-images-amazon.com/images/I/410-wHKoleL._SX404_BO1,204,203,200_.jpg",44.99,44.99,USD,https://www.amazon.com/Android-Programming-Beginners-depth-full-featured-dp-1800563434/dp/1800563434/
retail_product,Khoa Học Cơ Bản,netabooks,external_ID,42153,Thực Tại Không Như Ta Tưởng: Hành Trình Đến Hấp Dẫn Lượng Tử,,https://www.netabooks.vn/Data/Sites/1/Product/42153/thuc-tai-khong-nhu-ta-tuong-hanh-trinh-den-hap-dan-luong-tu.jpg,6.53,5.23,USD,https://www.netabooks.vn/thuc-tai-khong-nhu-ta-tuong-hanh-trinh-den-hap-dan-luong-tu
retail_product,"Vật lý lượng tử,tư tưởng Phật giáo,Nguyễn Tường Bách",netabooks,external_ID,42770,Lưới Trời Ai Dệt - Tiểu Luận Về Khoa Học Và Triết Học,,https://www.netabooks.vn/Data/Sites/1/Product/42770/luoi-troi-ai-det-tieu-luan-ve-khoa-hoc-va-triet-hoc.jpg,12.12,10.30,USD,https://www.netabooks.vn/luoi-troi-ai-det-tieu-luan-ve-khoa-hoc-va-triet-hoc
retail_product,"vật lý, triết học, đạo học,Fritjof Capra",netabooks,external_ID,25168,Đạo Của Vật Lý - Fritjof Capra,,https://www.netabooks.vn/Data/Sites/1/Product/25168/dao-cua-vat-ly-tai-ban-01.jpg,8.67,7.37,USD,https://www.netabooks.vn/dao-cua-vat-ly
retail_product,"triết học, sách phổ thông",netabooks,external_ID,42964,Triết Học - Tất Cả Những Điều Cần Biết Để Thông Thạo Bộ Môn Này,,https://www.netabooks.vn/Data/Sites/1/Product/42964/triet-hoc-tat-ca-nhung-dieu-can-biet-de-thong-thao-bo-mon-nay.jpg,13.55,10.84,USD,https://www.netabooks.vn/triet-hoc-tat-ca-nhung-dieu-can-biet-de-thong-thao-bo-mon-nay
